# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 208.72 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       8.546330160736e-02      -3.955436767805e-01      -1.048464410714e+02      -1.433521304645e+02      -3.953270364120e-01      -1.334471217518e+02       9.883175910300e-02       9.883175910300e-02      -1.539982613936e-05       1.667585598421e-01       1.737710485020e-01      -1.504577999019e-05       1.661137936456e-01 
       8.864930312292e-02      -3.759241875574e-01      -1.038320194603e+02      -1.471886616514e+02      -3.757195100004e-01      -1.364436842670e+02       9.392987750010e-02       9.392987750010e-02      -1.471183009800e-05       1.695164114871e-01       1.778563622682e-01      -1.437913995288e-05       1.698461104694e-01 
       9.189194743757e-02      -3.572240108345e-01      -1.025991187354e+02      -1.508948511741e+02      -3.570305888527e-01      -1.393004452229e+02       8.925764721317e-02       8.925764721317e-02      -1.404308196726e-05       1.721285792011e-01       1.817536987511e-01      -1.373028978929e-05       1.734038970511e-01 
       9.519993776186e-02      -3.397370047828e-01      -1.016660062487e+02      -1.545730491962e+02      -3.395538745569e-01      -1.421793044777e+02       8.488846863921e-02       8.488846863921e-02      -1.339832889461e-05       1.749148793294e-01       1.856546182724e-01      -1.310341546296e-05       1.769905103218e-01 
       9.858122959333e-02      -3.237127804774e-01      -1.015793537597e+02      -1.583399160097e+02      -3.235387785235e-01      -1.452581760055e+02       8.088469463087e-02       8.088469463087e-02      -1.278494591406e-05       1.782118931721e-01       1.897720802357e-01      -1.250547227278e-05       1.808292021431e-01 
       1.020432338621e-01      -3.093173029680e-01      -1.028487571605e+02      -1.623148264858e+02      -3.091511514531e-01      -1.487116292850e+02       7.728778786327e-02       7.728778786327e-02      -1.221045752935e-05       1.823337274817e-01       1.943176418418e-01      -1.194376308368e-05       1.851387396195e-01 
       1.055929637910e-01      -2.966016319852e-01      -1.058700106382e+02      -1.666047551613e+02      -2.964420453775e-01      -1.526869521573e+02       7.411051134437e-02       7.411051134437e-02      -1.168098071782e-05       1.875254571041e-01       1.994730496502e-01      -1.142442232988e-05       1.901033768673e-01 
       1.092371426596e-01      -2.854799410529e-01      -1.108427530705e+02      -1.712869995946e+02      -2.853257414605e-01      -1.572775937310e+02       7.133143536512e-02       7.133143536512e-02      -1.119590347347e-05       1.939173905940e-01       2.053580928030e-01      -1.094710391130e-05       1.958399098497e-01 
       1.129822837582e-01      -2.757308810069e-01      -1.177034492476e+02      -1.763916986108e+02      -2.755811163986e-01      -1.624987436110e+02       6.889527909966e-02       6.889527909966e-02      -1.075715762972e-05       2.014750931922e-01       2.120016406429e-01      -1.051426396177e-05       2.023666883207e-01 
       1.168347501505e-01      -2.670081963450e-01      -1.260784958023e+02      -1.818882937526e+02      -2.668622334132e-01      -1.682691722027e+02       6.671555835331e-02       6.671555835331e-02      -1.035893246163e-05       2.099793146846e-01       2.193178703847e-01      -1.012080413420e-05       2.095812993656e-01 
